,Bintang,Pengguna,Komen,Tanggal
0,Diberi rating 5 bintang dari 5 bintang,To'y,"Aplikasi gimana siih...dah hampir 1bln mengajukan pinjaman persyaratan sudah tinggal tunggu... validasi.tapi nih sudah 3minggu nunggu, berapa lama lgi saya harus nunggu.tolong pak/ibu klo y di setujui tolong secepatnya.klo tidak tolong hapus data saya.terima kasih",27 Februari 2020
1,Diberi rating 1 bintang dari 5 bintang,Endang Budiman,"Aplikasi apa ini sudah lewat 4 hari saya sdh ngasih data lengkap tp pengajuan saya lom ada kepastiannya juga. Saya Mohon data saya jangan d salah gunakan Yang ngasih bintang 5 itu mah sepertinya akal"" karyawannya doang.",1 Maret 2020
2,Diberi rating 1 bintang dari 5 bintang,Asmaraduy,"Penipuan dan amatiran ini... Masa sata ngajuin KTA tanpa kartu kredit eehh pas di tlp orang cermatinya dia verifikasi dan nanya punya kartu kredit ga??? Katanya kalo ga punya kartu kredit ga bisa diajukan trus cancel aja ya... Pertama saya pikir mungkin itu kesalahan data saya ajukan lagi kedua kali...
Ulasan Lengkap",26 Februari 2020
3,Diberi rating 3 bintang dari 5 bintang,Nur Suci Ningsih,"Hi mba/mas, mohon dihapus saja data data saya. Saya engga jadi mengajukan karna menurut saya sudah terlalu lama dari 14 desember sampe sudah 2bulan ini belum ada perkembangannya hanya stuck di (menunggu persetujuan institusi terkati). Terimakasih atas bantuannya.",14 Februari 2020
4,Diberi rating 1 bintang dari 5 bintang,Agus Eko riswanto,"Apk ini sebenar nya hanya perantara dan tidak memberi pinjaman,,,,saya 5X proses terus tidak ada 1pun yang jelas,,,data2 itu mau di ambil silahkan karena data2 itu penting bagi saya mau di ajukan kalau tidak pas dengan rekeningnya sama aja bhong!!!!!",14 Februari 2020
5,Diberi rating 5 bintang dari 5 bintang,Indra Gunawan,"Saya sdah download aplikasix, trus masuk ke kta digibank.... sdah isi semua data dgn lengkap dan benar tp ditahap terakhir kok selalu kesalahan sistem..... Saya coba berkali kalo tetap az gitu. Padahal saya sangat berharap aplikasi ini bisa membantu. Kecewa sih tp gpp saya kasih bintang 5. Tolong jg...
Ulasan Lengkap",26 Februari 2020
6,Diberi rating 1 bintang dari 5 bintang,Abdul Rahman,"Sangat kecewa... Menunggu konfirmasi validasi.... Sudah seminggu menunggu ..berharap di setujui... Tak taunya,aplikasi hanya melayani bagian jabodetabek...kenapa saat pengisian data...semua provinsi ada",26 Februari 2020
7,Diberi rating 1 bintang dari 5 bintang,Irwan Wj,"Aplikasi ini harus benar2 cermat, pengajuan 5x pinjaman gada yg di acc, cs nya tlp pengajuan disetujui tapi tetep gada kejelasan, yg ada tlp dari asuransi2. Orang butuh pinjaman yg diajukan asuransi bayar iuran. Cs tlp ga sopan. Tanya2 blm beres main matiin aja.",18 Februari 2020
8,Diberi rating 1 bintang dari 5 bintang,Ayya Kanaya,Tolong batalkan semua pengajuan saya. Tidak jelas. Data sudah lengkap. Tapi proses g jelas semua. Hari ini telp besok g ada kabar. Besoknya ada lagi yg telp. Trus g ada kabar lagi. Besok lagi ada lagi yg telp. Dan sama. Begitu terus. Lelah saya..,14 Januari 2020
9,Diberi rating 1 bintang dari 5 bintang,Eka Aelvy,memuaskan apa nya...kalau komen yg bener aja bos...saya dari tanggal 3 sampai hari ini tidak ada penjelasan apa pun...pengajuan kartu kredit tidak ada tindak lanjut nya...apk ini masih ada penghiuni nya/sudah off sih...coba di kasih penjelasan!!!,10 Januari 2020
