X,Bintang,Pengguna,Komen,Tanggal
0,Diberi rating 5 bintang dari 5 bintang Diberi,To'y,"Aplikasi gimana siih...dah hampir 1bln mengajukan pinjaman persyaratan sudah tinggal tunggu... validasi.tapi nih sudah 3minggu nunggu, berapa lama lgi saya harus nunggu.tolong pak/ibu klo y di setujui tolong secepatnya.klo tidak tolong hapus data saya.terima kasih",02/27/2020
1,Diberi rating 1 bintang dari 5 bintang Diberi,Endang Budiman,"Aplikasi apa ini sudah lewat 4 hari saya sdh ngasih data lengkap tp pengajuan saya lom ada kepastiannya juga. Saya Mohon data saya jangan d salah gunakan Yang ngasih bintang 5 itu mah sepertinya akal"" karyawannya doang.",03/01/2020
2,Diberi rating 1 bintang dari 5 bintang Diberi,Asmaraduy,"Penipuan dan amatiran ini... Masa sata ngajuin KTA tanpa kartu kredit eehh pas di tlp orang cermatinya dia verifikasi dan nanya punya kartu kredit ga??? Katanya kalo ga punya kartu kredit ga bisa diajukan trus cancel aja ya... Pertama saya pikir mungkin itu kesalahan data saya ajukan lagi kedua kali...
Ulasan Lengkap",02/26/2020
3,Diberi rating 3 bintang dari 5 bintang Diberi,Nur Suci Ningsih,"Hi mba/mas, mohon dihapus saja data data saya. Saya engga jadi mengajukan karna menurut saya sudah terlalu lama dari 14 desember sampe sudah 2bulan ini belum ada perkembangannya hanya stuck di (menunggu persetujuan institusi terkati). Terimakasih atas bantuannya.",02/14/2020
4,Diberi rating 1 bintang dari 5 bintang Diberi,Agus Eko riswanto,"Apk ini sebenar nya hanya perantara dan tidak memberi pinjaman,,,,saya 5X proses terus tidak ada 1pun yang jelas,,,data2 itu mau di ambil silahkan karena data2 itu penting bagi saya mau di ajukan kalau tidak pas dengan rekeningnya sama aja bhong!!!!!",02/14/2020
5,Diberi rating 5 bintang dari 5 bintang Diberi,Indra Gunawan,"Saya sdah download aplikasix, trus masuk ke kta digibank.... sdah isi semua data dgn lengkap dan benar tp ditahap terakhir kok selalu kesalahan sistem..... Saya coba berkali kalo tetap az gitu. Padahal saya sangat berharap aplikasi ini bisa membantu. Kecewa sih tp gpp saya kasih bintang 5. Tolong jg...
Ulasan Lengkap",02/26/2020
6,Diberi rating 1 bintang dari 5 bintang Diberi,Abdul Rahman,"Sangat kecewa... Menunggu konfirmasi validasi.... Sudah seminggu menunggu ..berharap di setujui... Tak taunya,aplikasi hanya melayani bagian jabodetabek...kenapa saat pengisian data...semua provinsi ada",02/26/2020
7,Diberi rating 1 bintang dari 5 bintang Diberi,Irwan Wj,"Aplikasi ini harus benar2 cermat, pengajuan 5x pinjaman gada yg di acc, cs nya tlp pengajuan disetujui tapi tetep gada kejelasan, yg ada tlp dari asuransi2. Orang butuh pinjaman yg diajukan asuransi bayar iuran. Cs tlp ga sopan. Tanya2 blm beres main matiin aja.",02/18/2020
8,Diberi rating 1 bintang dari 5 bintang Diberi,Ayya Kanaya,Tolong batalkan semua pengajuan saya. Tidak jelas. Data sudah lengkap. Tapi proses g jelas semua. Hari ini telp besok g ada kabar. Besoknya ada lagi yg telp. Trus g ada kabar lagi. Besok lagi ada lagi yg telp. Dan sama. Begitu terus. Lelah saya..,01/14/2020
9,Diberi rating 1 bintang dari 5 bintang Diberi,Eka Aelvy,memuaskan apa nya...kalau komen yg bener aja bos...saya dari tanggal 3 sampai hari ini tidak ada penjelasan apa pun...pengajuan kartu kredit tidak ada tindak lanjut nya...apk ini masih ada penghiuni nya/sudah off sih...coba di kasih penjelasan!!!,01/10/2020
10,Diberi rating 1 bintang dari 5 bintang Diberi,paschal madridista,"Ini adalah aplikasi perantara, jika kita mendaftar , baru langsung di alihkan ke berbagai jenis aplikasi pinjaman dan juga bank... Jadi setiap angsuran bisa jadi separuh ke sni, separuh ny ke tujuan yg terpinjam... Jadi bagi yang berminat silakan, cukup membantu tapi ada baik ny di cermati lebih dul...
Ulasan Lengkap",12/13/2019
11,Diberi rating 5 bintang dari 5 bintang Diberi,Arsand Tanjung,"saya beri rating 5 biar keluhan saya di baca Saya mengajukan beberapa produk kepada applikasi anda.. Saya sudah lama menunggu tapi tidak ada kejelasan pasti dari pihak anda ataupun pihak lain nya.. Saya hanya mau Info apa pengajuan saya di terima atau tidak. Agar saya bisa mengambil Jalan Keluar yan...
Ulasan Lengkap",02/10/2020
12,Diberi rating 1 bintang dari 5 bintang Diberi,Fajar Vebrianto,"Saya mengajukan melalui tokepedia dan saya ga tau bagaimana cara melihat disetujui atau tidak, saya ingin membatalkan pengajuannya bagaimana caranya? Saya tidak jadi pinjam karena tidak jelas ketika ada sesuatu dengan data saya saya tidak bertanggung jawab dan saya akan laporkan ke ojk, tolong dibat...
Ulasan Lengkap",02/20/2020
13,Diberi rating 2 bintang dari 5 bintang Diberi,Agus chanel Tea,tolong data saya di hapus saja karena sampe sekarang blm ada kejelasan dari pihak manapun...kalo memang ga di kasih pinjam ya kasih lah pemberitahuan supaya jelas jadi sya bsa cari yg lain,02/23/2020
14,Diberi rating 3 bintang dari 5 bintang Diberi,Farel Minaj,"Halo, bagaimana ya pengajuan saya? Sudah hampir 2minggu blm juga ada kepastian, saya tlp cs katanya pada sibuk semua, minta tolong sekali untuk admin cermati segera beri kepastian bagaimana kelanjutan untuk pengajuan saya, trims.",12/14/2019
15,Diberi rating 5 bintang dari 5 bintang Diberi,Hanya Hanyfah,khususnya untuk saya pribadi apapun serba online ... mudah dan tidak harus datang ke kantor untuk pengajuan... dimana saja dan sesibuk apa pun hp slalu dekat.... disetujui atau tidaknya juga tidak harus menunggu duduk diam tapi bisa sambil braktfitas yg lain..,02/05/2020
16,Diberi rating 1 bintang dari 5 bintang Diberi,bho bhe,Knp ada pihak dari cermati menagih tunggakan kartu kredit saya ?? Padahal saya gak pakai kartu kredit dri bank apa pun. Awas aja ya pihak cermati menyalahgunakan data saya. Akan saya laporkan ke pihak berwajib dan OJK..,12/17/2019
17,Diberi rating 5 bintang dari 5 bintang Diberi,Jay Armando,Min..sdh 6 hari berlalu...tolong di bantu pengajuan KTA sy...sy sangat sangat sdng butuh dana nya...klo bisa ACC sy anggap dewa penolong buat sy...dan sy akan fokus pada pinjaman yg 1 ini...tolong di bantu min...mksh,01/17/2020
18,Diberi rating 5 bintang dari 5 bintang Diberi,ara bungaran,Sy sudah mengajukan kartu kredit lewat APP ini dan hasilnya memuaskan. Kita dituntun sampai benar2 mendapatkan yg kita daftarkan bisa dibilang tingkat kinerja mereka mengalahkan tingkat kinerja pelayanan perbankan . Makasih layanannya ya.,12/11/2019
19,Diberi rating 1 bintang dari 5 bintang Diberi,agam van zoel,"Not friendly Aps,terlalu banyak kolom yg diisi,data yg telah diisi juga tidak bisa dihapus, nomor hp customer servicenya entah dimana.",02/28/2020
20,Diberi rating 5 bintang dari 5 bintang Diberi,Alvia Aprinaya,"Ni sy kasih bintang 5 sekaligus Mohon maaf...ko segitu lamanya y pengajuan KTA sy, udah lama ko belum ada info juga...bisa di acc g si, kalo g bisa tlg info dong biar g terlalu lama ngarep.",02/03/2020
21,Diberi rating 1 bintang dari 5 bintang Diberi,Muhammad Bambang,"dari semua pengajuan saya lewat cermati, dari mulai pengajuan kartu kredit sampe pengajuan KTA, hanya pengajuan yg pertama aja yg ada klarifikasi, itu pun d tolak, pengajuan saya yang selanjutnya ga ada kejelasan sama sekali sampe skrang, ,",12/22/2019
22,Diberi rating 5 bintang dari 5 bintang Diberi,KK C,"Apan nih gak jelas konfirmasi gak ada , customer servis gak ada tetus tanya ke siapa saya ?? TEMBOOOOOKKK?????",03/01/2020
23,Diberi rating 5 bintang dari 5 bintang Diberi,HAYTONY HAYRUDYN,"Saya mengajukan mulai tgl 11 januari 2020 yg lalu jumlah pinjaman 1.000.000 tenor 3 bulan ,aplikasinya msh di branda hp saya tetapi msh aja menunggu persetujuan ,lama amat BOY, masa iya mau nunggu di setujui ampe jembut memutih...!!!",01/25/2020
24,Diberi rating 1 bintang dari 5 bintang Diberi,memed samsuri,"apk yg sangat baik dari semua apk terbaik,saking keren nya nih apk,sya ngajuin di 4 bank,udh pir 2 blan gak ad kejelasan..padahal apk2 gak penting kya gini mending di hpus aj,percuma ,cuma buat orng berharap doank...",02/14/2020
25,Diberi rating 5 bintang dari 5 bintang Diberi,Salimah Imah,"Saya ksh bintg 5,,kartu 💳 saya ko blm di kirim "" ya, kt nya 14 hr krj,, ini ud sebulan lho,, tlng dong,, jgn bikin kecewa,, customer",02/28/2020
26,Diberi rating 5 bintang dari 5 bintang Diberi,Afandi Permana,Sy akan mencoba pengajuan di app cermati. Smg aj pengajuan sy di setujui.. Sy akan membayar tepat pada waktu nya. Insyaallah,02/28/2020
27,Diberi rating 3 bintang dari 5 bintang Diberi,Rahmawati putri,Selamat sore cermati ini kok saya mau telpon ke no telpon yg tertera kok ga bisa ya Tadi ada yg telpon apa itu dari cermati apa tidak Soalnya saya lagi pengajuan kta di permata bank saya ingin tau ajh pengajuan saya di acc apa engak,02/14/2020
28,Diberi rating 1 bintang dari 5 bintang Diberi,Wartini 0702,Pengajuan kartu kredit tidak ada kejelasan sudah 2 bulan.. Tolong konfirmasi jika memang ditolak dan datanya dihapus aja..,03/01/2020
29,Diberi rating 1 bintang dari 5 bintang Diberi,Theresia Pillot,Kenapa tidak ada pemberitahuan apapun padahal sufah melakukan pengajuan dan di hubUhhngi pihak2 anda melalui telfon dan email. Tolong kejelasannya,02/18/2020
30,Diberi rating 1 bintang dari 5 bintang Diberi,ilham gunawan,"Aplikasi bangke...data udh diambil SM sales-nya mau dikasih ke bank ini bank itu katanya, pas ditanya gimana ada yg di ACC ga pinjamannya, kaga ada balesan...bangsat nyuri data doank...",01/10/2020
31,Diberi rating 5 bintang dari 5 bintang Diberi,Azefri Yanto,"Nasib pengajuan saya gimana ini, MASIH MENUNGGU PERSETUJUAN INSTANSI TERKAIT trus, udah hampir sebulan ini bosku,, di telpon sudah hampir berkali, tapi masih aja menunggu... Tolong di bantu bosku...",12/12/2019
32,Diberi rating 1 bintang dari 5 bintang Diberi,aswanto /sias,"sangat kecewa sama aplikasi ini,, sudah berbulan bulan aku ngajuin kartu kredit tapi tak pernah kau acc, sekarang aku minta kau batalkan pengajuan aku sekarang soal kartu kredit Oke.. aku udah capek nunggu...",01/28/2020
33,Diberi rating 5 bintang dari 5 bintang Diberi,fendidwisaputro muncus,minta tolong bpk/ibu di bantu data saya untuk di acc di karenakan saya butuh banget......terima kasih...,02/18/2020
